,DeSide-D1,DeSide-D1_1,DeSide-D1_2,DeSide-D1_3,DeSide-D1_4,DeSide (No Pathway)-D1,DeSide (No Pathway)-D1_1,DeSide (No Pathway)-D1_2,DeSide (No Pathway)-D1_3,DeSide (No Pathway)-D1_4,DeSide (Softmax)-D1,DeSide (Softmax)-D1_1,DeSide (Softmax)-D1_2,DeSide (Softmax)-D1_3,DeSide (Softmax)-D1_4,DeSide_rep_5_mean,DeSide_rep_5_std,DeSide (No Pathway)_rep_5_mean,DeSide (No Pathway)_rep_5_std,DeSide (Softmax)_rep_5_mean,DeSide (Softmax)_rep_5_std
ACC,0.5555619175379453,0.5847651988649136,0.7274983893309116,0.6235901567264636,0.6850305206724578,0.694267279141005,0.4968336394867216,0.5327602200005308,0.4951027094219256,0.4463237453796633,0.2125617213212931,0.3789158708488829,0.2129157827770368,0.2142767072023499,0.3138643096505548,0.6352892366265384,0.0707508223491007,0.5330575186859693,0.09521575454584662,0.2665068783600235,0.07646663351370292
BLCA,0.6818117036305028,0.6836892161225849,0.6571047438826122,0.6727570279053385,0.653727827367645,0.6636890746350266,0.6483709071606589,0.6582090461576162,0.6584876963706926,0.6750501534460717,0.6512375275295311,0.6717052091328287,0.6636391014981194,0.6719735934707238,0.6677168598082579,0.6698181037817368,0.01383309423913885,0.6607613755540132,0.00972044629814694,0.6652544582878923,0.008542630021823901
BRCA,0.6320689977631617,0.6093009914828877,0.6382235716953223,0.6087251699267177,0.6251980210735466,0.6012027338097817,0.6068057886069564,0.5809383785020793,0.5972791149763222,0.5562890919907014,0.6488050544148102,0.5736849080051656,0.6304465673981188,0.6535593161144208,0.6036215347802864,0.6227033503883272,0.013321305822282189,0.5885030215771682,0.020422137934995338,0.6220234761425603,0.03338397526979458
CESC,0.622904969645105,0.6358991966756575,0.5926076066261041,0.6016476574392958,0.5398347696131206,0.6226667235789997,0.5829143807952276,0.6286103890575332,0.6097244945039525,0.6243712903413748,0.5632477909820576,0.5864578320145041,0.6088133633511639,0.6151323798844274,0.5687683868137338,0.5985788399998566,0.03701522889301324,0.6136574556554175,0.018575173046321725,0.5884839506091774,0.02320073366474325
COAD,0.6179645152457695,0.6414099447191127,0.6268368488360662,0.6614211643421116,0.6416434156802966,0.6341241661469834,0.6084834480826117,0.6435253439678074,0.6412503922284292,0.6540564144807182,0.6095944009065508,0.6423768314482656,0.6210354526678485,0.6511151921465055,0.6218249383124232,0.6378551777646713,0.016578486554821966,0.6362879529813099,0.017106258516657553,0.6291893630963188,0.01702450331113376
GBM,0.6146514543477114,0.5210857679966443,0.5807231751480403,0.5465132824929433,0.5568962937494473,0.6254903894845096,0.5455206294868669,0.4947970539492985,0.6046974993988421,0.5208312760666235,0.604844035604941,0.5458660750664432,0.535474772066783,0.5766790534792261,0.5082079044632251,0.5639739947469573,0.035507429762332766,0.5582673696772281,0.055378499453492,0.5542143681361237,0.03743489840133365
HNSC,0.6479506797594259,0.6421359935162538,0.6358018646483965,0.6271191213520966,0.567535681309857,0.6473321627104354,0.6216309487483923,0.6315644977052945,0.6302082310618888,0.6410596993219845,0.5574904816033469,0.6124791284749674,0.6147571943441744,0.6337955063146007,0.5903289204307598,0.6241086681172059,0.03255657571939921,0.6343591079095992,0.01000304624318395,0.6017702462335699,0.029157159305989125
KICH,0.6563981803440866,0.5810647956926833,0.7938369474205896,0.7279398311080051,0.7250815603748336,0.683181583872827,0.7000200781400787,0.7568475758346609,0.5917063990620985,0.4469480859147716,0.5035194154299724,0.52274064392276,0.6666053957950505,0.4911093003735431,0.5028715194411476,0.6968642629880397,0.08095157318156924,0.6357407445648874,0.1210692178914153,0.5373692549924948,0.07312979069656605
KIRC,0.2496734058340261,0.2380824736692929,0.335921414152631,0.2849035882549208,0.2582337063441422,0.241836438395183,0.2155950844551022,0.2182272512404076,0.212514269235425,0.1839094350347269,0.0510669514001745,0.1754966120528928,0.1001172102655076,0.1258763693580728,0.0620259293712157,0.2733629176510026,0.03899214117925961,0.21441649567216894,0.020628035549990598,0.10291661448957268,0.050406544083718946
KIRP,0.7344693363552531,0.6990110866447987,0.6464944104676705,0.7648349021420721,0.7361998608903132,0.7640360225753697,0.7459947114115805,0.6732957027308726,0.7623333475603923,0.7444323737231431,0.62665929969373,0.6691865033441792,0.68130709565193,0.6359387027444589,0.6682074927886145,0.7162019193000215,0.045424235626000994,0.7380184316002717,0.03728914555128883,0.6562598188445825,0.0235921101951669
LGG,0.6706489659052414,0.5142745439562232,0.6841573035440582,0.6449322738013733,0.6788953731458887,0.4525453107271925,0.466754951265234,0.3700367515916503,0.4643761302067521,0.2981968715648859,0.5828212121877527,0.4535650477502455,0.577259212763703,0.515814884445995,0.5780142241728577,0.6385816920705569,0.07110421270018821,0.410382003071143,0.07430387374448989,0.5414949162641107,0.05637316138921543
LIHC,0.5915344894193404,0.6559436426261868,0.3478077868650145,0.6300044538451213,0.6172767627151853,0.6545651688276659,0.645633195599137,0.6445867935011379,0.6488824755797686,0.6832217754948333,0.0978818825805537,0.6488260950110365,0.048991616890518,0.2113230145781936,0.5869350965776418,0.5685134270941696,0.12554282217563226,0.6553778818005085,0.016043220657473416,0.31879154112758873,0.2801634940721386
LUAD,0.7749140828764765,0.7805814811045547,0.7803370485350667,0.7676693245773186,0.7518194725624879,0.7590113061714533,0.7590149778926488,0.7488741797709059,0.7649151773677026,0.7439832797152776,0.759461063687883,0.7563051141506534,0.7584177760754562,0.7730959479994332,0.7614761004848778,0.7710642819311809,0.011971535730495081,0.7551597841835976,0.008504227056249071,0.7617512004796608,0.006610508251661003
LUSC,0.7807894564518927,0.773731823853311,0.7813704028343046,0.7591906495137256,0.7553324702690265,0.772236319502625,0.764044905730215,0.7492729573140114,0.7704693910922634,0.762735274940807,0.7392342950162424,0.7588224021143144,0.7655266316228695,0.7653682185645756,0.7532617765360894,0.7700829605844521,0.012161095905232388,0.7637517697159844,0.009053579692024461,0.7564426647708182,0.010886840148666761
PRAD,0.4556868445594388,0.443251814227665,0.46365485460564,0.4533993123331042,0.451545219654261,0.4199262173020344,0.4206075179773197,0.4193629342659826,0.4037483202636089,0.3548726558267133,0.4698102195148754,0.3996591330128107,0.4457702994433198,0.4749859606813564,0.4326108341233211,0.45350760907602183,0.007361380433201488,0.40370352912713175,0.028189508746595336,0.44456728935513673,0.030510849092378202
READ,0.5201488914843194,0.5496465965052497,0.5381684248089246,0.5726668020442858,0.5516487602519268,0.5408457272460455,0.5139856840779258,0.5549262105566276,0.5531489275056244,0.567580805653974,0.5104217413088435,0.5547865401208986,0.5335636378924937,0.5567967789015276,0.5310039948660328,0.5464558950189413,0.01926719147830357,0.5460974710080395,0.020297481498020933,0.5373145386179592,0.01911768349455461
THCA,0.3565158429889274,0.3431355313731299,0.5212665241793195,0.3579586141029291,0.3511610939446209,0.3786385681706962,0.4122329173085411,0.3578662455713693,0.3262267360693688,0.2861757850600482,0.4114102383173295,0.2472592106896642,0.3252667729363404,0.3535327158563086,0.3213049446276052,0.38600752131778543,0.075834983952304,0.35222805043600475,0.04839643284860499,0.3317547764854496,0.05939289742458953
UCEC,0.510602216762342,0.4985110743630583,0.4796618712431956,0.5056974356451472,0.4975189856105292,0.5209594312042067,0.5005546299330328,0.5025377208482962,0.5064860026047681,0.4909955362061869,0.5083286676612205,0.5056732651495982,0.4811442165342676,0.5137581242370893,0.495979408261012,0.4983983167248544,0.011769161396615439,0.5043066641592981,0.010913949960584863,0.5009767363686375,0.012823555312012746
