"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"lymph_node_20",5.29930559334542e-08,0.0713503761524802,0.0153594441354826,0.00662623028621678,0.00204171256119617,1.62521241701244e-05,0.00201222837919888,0.902593703368199
"lymph_node_25",0.0139095048370314,0.307443581001077,0.0788664916344865,0.128230022940348,0.0024757392014574,0.00934200610644448,0.154752589782239,0.304980064496916
"lymph_node_26",6.07880762490346e-07,0.170813889302599,0.0336065862317889,0.120657205127923,0.0037575567181969,3.50456851687899e-05,0.00414062105174706,0.666988488001814
"lymph_node_28",4.80998129306862e-06,0.596448125547584,0.130950163758455,0.147476012849129,0.00673646427131484,0.00940198170815531,6.74026847907375e-07,0.108981767857221
"lymph_node_5",2.80176350909178e-07,0.187566532225341,0.482604311132401,0.0703610800305578,0.00261563669998537,0.0232887545362628,2.11938302314985e-06,0.233561285816078
"primary_10",0.0245853061105138,0.118061072998994,2.23917066494743e-08,0.840557482450821,4.08461531545785e-06,0.0167914946098807,5.04460238650161e-07,3.23625302034723e-08
"primary_12",6.26965044150443e-07,0.099067485434477,0.00316350257497939,0.00157357415493261,0.000683930277310526,6.60448326943533e-06,0.841990965249751,0.0535133108602361
"primary_13",0.0804458383345688,0.503713704500549,0.00256087914249638,0.206466253758968,8.53795803202449e-05,0.116441187187805,0.0902867482967358,9.19855609858026e-09
"primary_16",6.45550947599597e-05,0.0753466297732897,0.099512403341089,0.202338395852988,0.00255303675218365,0.0871569560047953,0.533027724139488,2.99041406486843e-07
"primary_17",4.65893845942584e-09,0.345893780251007,0.0279647536115565,0.232789043325083,0.00786513749074723,0.0157916349060149,0.329163114107068,0.0405325316495854
"primary_18",0.00271991198940109,0.210406036453183,0.107710849642277,0.0773451752857888,0.00784498506740116,0.0528462524360337,0.376143152861167,0.164983636264749
"primary_20",3.53520421110654e-08,0.102269092386399,0.0341925840632081,0.0351338683702623,0.00302984212507379,8.51182261292603e-07,0.00261891841108654,0.822754808109667
"primary_22",5.96505462964373e-07,0.134490956663495,0.0413475601017926,0.169815922111822,0.0032366118787001,0.227102114150107,0.00366074094307315,0.420345497645547
"primary_23",2.80399879370887e-09,2.52321400080098e-09,1.927035217848e-07,3.15206184654093e-08,3.89915688145829e-08,6.03089569308883e-08,0.99999966977624,1.37188152262015e-09
"primary_24",3.51276653230393e-09,0.0297329856963594,0.0521473903030733,0.647434923195259,0.026685952449128,0.243998450555528,1.78137538827115e-07,1.1615034701743e-07
"primary_25",0.00294836811153138,0.153700517843352,0.0526549496065821,0.176176189433118,0.00329494444627626,0.0312638893767051,0.18670590106616,0.393255240116275
"primary_26",1.38137141997975e-06,0.151495709015847,0.063238272228722,0.392249136321523,0.00343188811551744,0.00527834589131689,0.0204770998657078,0.363828167189946
"primary_28",0.00202741649945273,0.0663721614778933,0.0911013538557147,0.408725354166053,0.00203791107320914,3.10121628028391e-07,0.00347789256175887,0.42625760024429
"primary_5",2.08186963030613e-05,0.297179090809847,0.11039036561303,0.274103924846209,0.142885764410245,0.0488406682847119,0.126579366900225,4.39429077542792e-10
"primary_6",1.93429817681563e-05,0.108338994694629,0.200344403782286,0.32404771768427,0.00262137236581243,0.00596647362048446,3.61197083059858e-09,0.358661691258779
"primary_7",7.30541434448417e-09,0.090965686225506,0.00240989682418988,0.136938321714787,0.00292553134989234,2.07558798190085e-06,1.1532285621477e-06,0.766757327763666
"primary_8",0.0422449097185284,0.206299250676061,0.0935353656893708,0.541197518772893,8.90415533580621e-05,0.0125498091606047,0.104084101986059,2.44312463981317e-09
